Survived,Pclass,Age,SibSp,Fare,Sex_0,Sex_1,Parch_0,Parch_1,Parch_2,Parch_3,Parch_4,Parch_5,Parch_6,Embarked_0,Embarked_1,Embarked_2
0,3,22.0,1,7.25,1,0,1,0,0,0,0,0,0,1,0,0
1,1,38.0,1,71.2833,0,1,1,0,0,0,0,0,0,0,1,0
1,3,26.0,0,7.925,0,1,1,0,0,0,0,0,0,1,0,0
1,1,35.0,1,53.1,0,1,1,0,0,0,0,0,0,1,0,0
0,3,35.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,8.4583,1,0,1,0,0,0,0,0,0,0,0,1
0,1,54.0,0,51.8625,1,0,1,0,0,0,0,0,0,1,0,0
0,3,2.0,3,21.075,1,0,0,1,0,0,0,0,0,1,0,0
1,3,27.0,0,11.1333,0,1,0,0,1,0,0,0,0,1,0,0
1,2,14.0,1,30.0708,0,1,1,0,0,0,0,0,0,0,1,0
1,3,4.0,1,16.7,0,1,0,1,0,0,0,0,0,1,0,0
1,1,58.0,0,26.55,0,1,1,0,0,0,0,0,0,1,0,0
0,3,20.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,39.0,1,31.275,1,0,0,0,0,0,0,1,0,1,0,0
0,3,14.0,0,7.8542,0,1,1,0,0,0,0,0,0,1,0,0
1,2,55.0,0,16.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,2.0,4,29.125,1,0,0,1,0,0,0,0,0,0,0,1
1,2,29.69911764705882,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
0,3,31.0,1,18.0,0,1,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.225,0,1,1,0,0,0,0,0,0,0,1,0
0,2,35.0,0,26.0,1,0,1,0,0,0,0,0,0,1,0,0
1,2,34.0,0,13.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,15.0,0,8.0292,0,1,1,0,0,0,0,0,0,0,0,1
1,1,28.0,0,35.5,1,0,1,0,0,0,0,0,0,1,0,0
0,3,8.0,3,21.075,0,1,0,1,0,0,0,0,0,1,0,0
1,3,38.0,1,31.3875,0,1,0,0,0,0,0,1,0,1,0,0
0,3,29.69911764705882,0,7.225,1,0,1,0,0,0,0,0,0,0,1,0
0,1,19.0,3,263.0,1,0,0,0,1,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,1,0,0
0,1,40.0,0,27.7208,1,0,1,0,0,0,0,0,0,0,1,0
1,1,29.69911764705882,1,146.5208,0,1,1,0,0,0,0,0,0,0,1,0
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,2,66.0,0,10.5,1,0,1,0,0,0,0,0,0,1,0,0
0,1,28.0,1,82.1708,1,0,1,0,0,0,0,0,0,0,1,0
0,1,42.0,1,52.0,1,0,1,0,0,0,0,0,0,1,0,0
1,3,29.69911764705882,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
0,3,21.0,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,18.0,2,18.0,0,1,1,0,0,0,0,0,0,1,0,0
1,3,14.0,1,11.2417,0,1,1,0,0,0,0,0,0,0,1,0
0,3,40.0,1,9.475,0,1,1,0,0,0,0,0,0,1,0,0
0,2,27.0,1,21.0,0,1,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,0,7.8958,1,0,1,0,0,0,0,0,0,0,1,0
1,2,3.0,1,41.5792,0,1,0,0,1,0,0,0,0,0,1,0
1,3,19.0,0,7.8792,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,0,8.05,1,0,1,0,0,0,0,0,0,1,0,0
0,3,29.69911764705882,1,15.5,1,0,1,0,0,0,0,0,0,0,0,1
1,3,29.69911764705882,0,7.75,0,1,1,0,0,0,0,0,0,0,0,1
0,3,29.69911764705882,2,21.6792,1,0,1,0,0,0,0,0,0,0,1,0
0,3,18.0,1,17.8,0,1,1,0,0,0,0,0,0,1,0,0
0,3,7.0,4,39.6875,1,0,0,1,0,0,0,0,0,1,0,0
0,3,21.0,0,7.8,1,0,1,0,0,0,0,0,0,1,0,0
1,1,49.0,1,76.7292,0,1,1,0,0,0,0,0,0,0,1,0
1,2,29.0,1,26.0,0,1,1,0,0,0,0,0,0,1,0,0
0,1,65.0,0,61.9792,1,0,0,1,0,0,0,0,0,0,1,0
1,1,29.69911764705882,0,35.5,1,0,1,0,0,0,0,0,0,1,0,0
1,2,21.0,0,10.5,0,1,1,0,0,0,0,0,0,1,0,0
0,3,28.5,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
1,2,5.0,1,27.75,0,1,0,0,1,0,0,0,0,1,0,0
0,3,11.0,5,46.9,1,0,0,0,1,0,0,0,0,1,0,0
0,3,22.0,0,7.2292,1,0,1,0,0,0,0,0,0,0,1,0
1,1,38.0,0,80.0,0,1,1,0,0,0,0,0,0,1,0,0
